x,y,z,size
9.303713,2.48458,56.44595,0.01
9.19965,2.396631,56.44595,0.01
3.515107,-0.2697081,56.44595,0.01
1.416001,-1.232497,56.44595,0.01
0.9163615,-1.332897,56.44595,0.01
0.4624389,-1.296447,56.44595,0.01
0.05213109,-1.308344,56.44595,0.01
-0.3621575,-1.37323,56.44595,0.01
-0.5846107,-1.423007,56.44595,0.01
-1.990835,-1.296832,56.44595,0.01
-4.549701,-0.9052091,56.44595,0.01
-4.968901,-0.6377845,56.44595,0.01
-5.030767,-0.4657682,56.44595,0.01
-4.96633,-0.4038331,56.44595,0.01
-4.877166,-0.3963489,56.44595,0.01
-4.755915,-0.3634291,56.44595,0.01
-4.636992,-0.3973628,56.44595,0.01
-4.509732,-0.4024258,56.44595,0.01
-4.373316,-0.371224,56.44595,0.01
-4.251745,-0.3189328,56.44595,0.01
-4.137015,-0.2824492,56.44595,0.01
-4.130365,-0.2555511,56.44595,0.01
-4.181454,-0.2103727,56.44595,0.01
-4.220609,-0.1493362,56.44595,0.01
-4.335803,-0.04141617,56.44595,0.01
-3.851365,0.3691246,56.44595,0.01
-2.809737,0.9195237,56.44595,0.01
-2.102493,1.253999,56.44595,0.01
-1.813147,1.336525,56.44595,0.01
-1.636251,1.353569,56.44595,0.01
-1.54028,1.212567,56.44595,0.01
-1.384583,1.333679,56.44595,0.01
-0.6208854,2.171234,56.44595,0.01
-0.1700989,2.671751,56.44595,0.01
0.1184631,2.92987,56.44595,0.01
0.1662664,2.961927,56.44595,0.01
0.1739173,2.883101,56.44595,0.01
0.1437903,2.856021,56.44595,0.01
0.1244317,2.916623,56.44595,0.01
0.127002,2.989083,56.44595,0.01
0.1400293,3.111551,56.44595,0.01
0.1290677,3.191664,56.44595,0.01
0.09591588,3.251268,56.44595,0.01
0.07173693,3.316208,56.44595,0.01
0.06000909,3.351698,56.44595,0.01
0.09589648,3.41727,56.44595,0.01
0.1781287,3.445423,56.44595,0.01
0.236175,3.49166,56.44595,0.01
0.3096339,3.536007,56.44595,0.01
0.3961626,3.411385,56.44595,0.01
0.8222809,3.32972,56.44595,0.01
1.602978,3.10149,56.44595,0.01
2.137623,2.838676,56.44595,0.01
2.410254,2.528704,56.44595,0.01
